Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,4th Avenue,25 St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,25th St,SW,40.660405999999995,-73.998086
BMT,4th Avenue,36 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,36th St,NW,40.654520500000004,-74.004306
BMT,4th Avenue,4 Av-9 St,F,G,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,9th St,NW,40.6704625,-73.988629
BMT,4th Avenue,45 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,45th St,NW,40.6494055,-74.0095305
BMT,4th Avenue,53 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,53rd St,SW,40.645056,-74.014189
BMT,4th Avenue,59 St,N,R,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,4th Ave,60th St,SW,40.6411395,-74.01810950000001
BMT,4th Avenue,77 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,77th St,NW,40.629862,-74.02559149999999
BMT,4th Avenue,86 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,86th St,SW,40.6230405,-74.02837550000001
BMT,4th Avenue,95 St,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,5th Ave,95th St,NE,40.61674,-74.0308935
BMT,4th Avenue,Atlantic Av-Pacific St,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Stair,YES,,FULL,4th Ave,Pacific St,NW,40.6838665,-73.9786455
BMT,4th Avenue,Bay Ridge Av,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,4th Ave,Bay Ridge Ave,NW,40.635118000000006,-74.0234465
BMT,4th Avenue,DeKalb Av,Q,R,,,,,,,,,,TRUE,,TRUE,Easement,YES,,NONE,Flatbush Ave,Fleet St,NW,40.690651,-73.98182349999999
BMT,4th Avenue,Prospect Av,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,Prospect Ave,SE,40.665178499999996,-73.992987
BMT,4th Avenue,Union St,R,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,4th Ave,Union St,SW,40.677139999999994,-73.983218
BMT,Astoria,30 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,30th Ave,SW,40.766875999999996,-73.92141050000001
BMT,Astoria,36 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,36th Ave,SW,40.7565875,-73.9298665
BMT,Astoria,39 Av,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,39th Ave,SE,40.752696,-73.9329195
BMT,Astoria,Astoria Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Hoyt Ave South,SW,40.7705895,-73.9174565
BMT,Astoria,Astoria-Ditmars Blvd,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,23rd Ave,NW,40.7749795,-73.912114
BMT,Astoria,Broadway,N,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,31st St,Broadway,SW,40.761995,-73.9254935
BMT,Brighton,7 Av,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Flatbush Ave,Park Pl,SW,40.677344500000004,-73.9725
BMT,Brighton,Atlantic Av,B,D,N,Q,R,2,3,4,5,,,TRUE,,TRUE,Easement,YES,,NONE,Ashland Pl,Hanson Pl,NE,40.685222,-73.977628
BMT,Brighton,Avenue H,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,16th St,Avenue H,SW,40.6299085,-73.96168800000001
BMT,Brighton,Avenue J,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue J,SE,40.6251245,-73.9608795
BMT,Brighton,Avenue M,B,Q,,,,,,,,,,FALSE,,TRUE,Door,NO,YES,NONE,,Avenue M,SW,40.617902,-73.95951249999999
BMT,Brighton,Avenue U,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,NO,YES,NONE,15th St,Avenue U,NE,40.5989845,-73.9559145
BMT,Brighton,Beverly Rd,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Marlborough Rd,Beverly Rd,SE,40.644272,-73.964528
BMT,Brighton,Brighton Beach,B,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Branch 7 St,Brighton Beach Rd,NE,40.5776865,-73.9611125
BMT,Brighton,Church Av,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,NONE,St. Pauls Pl,Caton Ave,SE,40.6504545,-73.963044
BMT,Brighton,Cortelyou Rd,B,Q,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Marlborough Rd,Cortelyou Rd,SE,40.641314,-73.963996
